step,time,step_time,temperature,pressure,kinetic,potential,total_energy,box_x,box_y,box_z,area_per_lipid,thickness_proxy,barostat_scale
1.0,0.002,0.028186207986436784,0.9995376515378955,0.1403855054691213,958.053544763723,381.9030010274698,1339.9565457911929,15.999972492336175,15.999972492336175,19.99996561542022,3.9999862461799105,6.390247334384075,0.9999982807710109
10.0,0.02,0.027542499999981374,0.9995507551536434,0.1409428457750391,958.0661066721101,398.0407484102756,1356.1068550823857,15.999724998038369,15.999724998038369,19.999656247547957,3.999862500200842,6.384414698956817,0.9999982818856915
20.0,0.04,0.027771124994615093,0.9998023539822499,0.1417608076880985,958.3072664560987,394.4758837075445,1352.783150163643,15.99945016847478,15.99945016847478,19.999312710593465,3.9997250889610574,6.379347964126752,0.9999982835216153
30.0,0.06,0.027639832987915725,1.0011005847352197,0.1425460564871205,959.551619374962,410.3498008984101,1369.901420273372,15.999175143529232,15.999175143529232,19.998968929411532,3.999587582395682,6.375779040525885,0.999998285092113
40.0,0.08,0.027012875012587756,1.001001343794743,0.14060432171332365,959.4564898077144,386.7044332437165,1346.160923051431,15.998900346375528,15.998900346375528,19.9986254329694,3.9994501920821093,6.373712758918483,0.9999982812086434
50.0,0.1,0.02688970899907872,1.0014953246064686,0.14070332872191868,959.9299691682861,394.0247536339751,1353.9547228022611,15.998625587151103,15.998625587151103,19.998281983938867,3.9993128230913437,6.373138645804055,0.9999982814066575
60.0,0.12,0.027230750012677163,1.0026016570214817,0.1414943216248761,960.9903881837703,401.0417175344403,1362.0321057182105,15.998350918605027,15.998350918605027,19.997938648256277,3.9991755017942237,6.374049578043449,0.9999982829886432
70.0,0.14,0.027147249988047406,1.0040414110300544,0.14248672814119706,962.3703914822827,404.44429755381674,1366.8146890360995,15.998076228187502,15.998076228187502,19.99759528523437,3.999038171920282,6.376449179954855,0.9999982849734563
80.0,0.16,0.027000707981642336,1.0057439320743857,0.142909539985447,964.0022539362598,410.18941980144643,1374.1916737377062,15.99780169877256,15.99780169877256,19.9972521234657,3.9989009248945346,6.380336418888609,0.99999828581908
90.0,0.18,0.027575166983297095,1.0077800013950406,0.14266743854531533,965.9538187539798,402.7038520519495,1368.6576708059292,15.997527153401794,15.997527153401794,19.996908941752245,3.998763672247308,6.3857043902330775,0.9999982853348771
100.0,0.2,0.027354125020792708,1.0100495056837635,0.14402283207051766,968.1291364036297,414.8709665699034,1383.000102973533,15.997253113939559,15.997253113939559,19.996566392424448,3.9986266748663892,6.39255245118884,0.9999982880456642
