step,time,step_time,temperature,pressure,kinetic,potential,total_energy,box_x,box_y,box_z,area_per_lipid,thickness_proxy,barostat_scale
1.0,0.002,0.005204874993069097,0.9995042763760847,0.1425661881587958,958.0215631377024,411.64714322486304,1369.6687063625654,15.999972562118021,15.999972562118021,19.999965702647525,3.9999862810707736,6.390247306463069,0.9999982851323763
10.0,0.02,0.005106249998789281,0.9995842574793383,0.14284624272082724,958.098225835522,426.7911821689021,1384.8894080044242,15.999725551405197,15.999725551405197,19.999656939256493,3.999862776879505,6.384415270411429,0.9999982856924854
20.0,0.04,0.005111125006806105,0.9998906637804711,0.1388516102213631,958.3918999544874,370.34405715141554,1328.7359571059028,15.999450639597578,15.999450639597578,19.999313299496972,3.999725324514365,6.379342854847756,0.9999982777032205
30.0,0.06,0.0051018329977523535,1.0013478203005508,0.14012255053449224,959.7885845473215,387.77337467329346,1347.5619592206149,15.999175852145644,15.999175852145644,19.998969815182054,3.9995879366856295,6.375749218416115,0.9999982802451011
40.0,0.08,0.00510983300046064,1.0011055976046626,0.14005281170555936,959.5564146241907,383.1429803019148,1342.6993949261055,15.998901298512799,15.998901298512799,19.998626623141,3.999450668118039,6.3736365961591845,0.9999982801056234
50.0,0.1,0.005161708017112687,1.0015083305343682,0.14268595777640372,959.9424429201812,410.5879636000549,1370.530406520236,15.998626695155396,15.998626695155396,19.998283368944247,3.9993133770459197,6.37299727529596,0.9999982853719156
60.0,0.12,0.005123374983668327,1.0028759335113722,0.1440252380568914,961.2532910279707,424.5516435118883,1385.804934539859,15.998351955447967,15.998351955447967,19.99793994430996,3.9991760201622784,6.373855997159909,0.9999982880504761
70.0,0.14,0.005053332977695391,1.0041884799511873,0.14336336926659646,962.5113599347835,410.50306009771634,1373.0144200324999,15.998077585544943,15.998077585544943,19.99759698193118,3.99903885051743,6.376199452745923,0.9999982867267385
80.0,0.16,0.005149000004166737,1.0059245129662837,0.14195884301338266,964.1753364611797,400.5233172798832,1364.6986537410628,15.997803159900654,15.997803159900654,19.997253949875823,3.9989016553582397,6.380040241768485,0.9999982839176861
90.0,0.18,0.005127834010636434,1.0078461352109782,0.14146971109673237,966.017203171064,395.09233926799027,1361.1095424390542,15.997528806021577,15.997528806021577,19.99691100752698,3.9987644984295336,6.385356359572803,0.9999982829394222
