step,time,area_per_lipid,thickness_proxy,pressure,temperature
1.0,0.002,3.9999862810707736,6.390247306463069,0.1425661881587958,0.9995042763760847
10.0,0.02,3.999862776879505,6.384415270411429,0.14284624272082724,0.9995842574793383
20.0,0.04,3.999725324514365,6.379342854847756,0.1388516102213631,0.9998906637804711
30.0,0.06,3.9995879366856295,6.375749218416115,0.14012255053449224,1.0013478203005508
40.0,0.08,3.999450668118039,6.3736365961591845,0.14005281170555936,1.0011055976046626
50.0,0.1,3.9993133770459197,6.37299727529596,0.14268595777640372,1.0015083305343682
60.0,0.12,3.9991760201622784,6.373855997159909,0.1440252380568914,1.0028759335113722
70.0,0.14,3.99903885051743,6.376199452745923,0.14336336926659646,1.0041884799511873
80.0,0.16,3.9989016553582397,6.380040241768485,0.14195884301338266,1.0059245129662837
90.0,0.18,3.9987644984295336,6.385356359572803,0.14146971109673237,1.0078461352109782
100.0,0.2,3.9986274379547306,6.392160232166525,0.1417227485782381,1.0099541424290754
110.0,0.22,3.9984903081236745,6.400463715014741,0.14058275211504898,1.0121693281677853
120.0,0.24,3.998353254794267,6.410236013302591,0.14296652629151066,1.014483981802155
130.0,0.26,3.998216273729695,6.421471614063579,0.14304950561904575,1.0168230307948956
140.0,0.28,3.9980794476227506,6.434215307733121,0.14503719614593563,1.0192253844001182
150.0,0.3,3.9979426677862024,6.44852692526886,0.14558698964174593,1.0225817449344308
160.0,0.32,3.9978059936382477,6.464487717219706,0.14558281486549673,1.0251969536182857
170.0,0.34,3.9976694297002604,6.482081649148544,0.1460217563104452,1.0266181055950914
180.0,0.36,3.99753297715581,6.5012403094329905,0.1467653351002242,1.0324144942916544
190.0,0.38,3.9973966656508932,6.521182142579188,0.14819174101890528,1.0307801689275615
200.0,0.4,3.9972600886700516,6.5423522783904495,0.1458658521247979,1.0329644200363057
210.0,0.42,3.9971237049037893,6.564999256178323,0.14789971492451962,1.0370180330633787
220.0,0.44,3.996987529802462,6.589082834031484,0.14553854091006974,1.043221389131292
230.0,0.46,3.9968517615927177,6.614574127511606,0.1482485101565264,1.047986030950136
240.0,0.48,3.9967159219562984,6.641461174466894,0.14963174881822752,1.0498561710373449
250.0,0.5,3.996580239554815,6.6697314513828765,0.15001519187880497,1.0553433279527975
260.0,0.52,3.996444707690012,6.699372439587206,0.1541702404383497,1.0580787793041853
270.0,0.54,3.9963090998384887,6.730361012391462,0.1508749393044421,1.0586751205457676
280.0,0.56,3.9961735866314028,6.762707023717079,0.15268788241763256,1.0675444389410258
290.0,0.58,3.9960391172676353,6.796368483497896,0.1584413563117873,1.0978029725909113
300.0,0.6,3.9959044383156948,6.831303466927693,0.1578146853325742,1.0981810473252644
310.0,0.62,3.9957698848107017,6.867534214984621,0.15734906973685725,1.096842397623036
320.0,0.64,3.9956350612660847,6.905034828313658,0.1565857714176195,1.0905072533519313
330.0,0.66,3.9955003178141117,6.943794606917985,0.1560833803822196,1.0897823452506192
340.0,0.68,3.9953656595418927,6.983827838323984,0.1603953219085207,1.0949226636703837
350.0,0.7000000000000001,3.9952315126370515,7.025113965923088,0.15824460415944416,1.100086472988357
360.0,0.72,3.9950971061705274,7.067658639362483,0.15906937572899565,1.0888444697884918
370.0,0.74,3.9949623966920003,7.1114650628909555,0.1561779619406338,1.0869900173007814
380.0,0.76,3.994827645535853,7.156528276770583,0.1617987062924544,1.088290833125634
390.0,0.78,3.9946930697110257,7.202835449816795,0.1592303004777551,1.0914240749370736
400.0,0.8,3.9945585446350127,7.250417648468328,0.158896810751598,1.0965720473302807
410.0,0.8200000000000001,3.9944243001071627,7.299359650306449,0.1625740236182385,1.1023088654281121
420.0,0.84,3.9942901455347473,7.349726970730272,0.15773258177842372,1.1076173482822451
430.0,0.86,3.994156279293673,7.40143998329858,0.16182600168493785,1.1128055670495554
440.0,0.88,3.99402240361852,7.454400456455886,0.16153382802288077,1.115026841924138
450.0,0.9,3.99388851060291,7.508541136832902,0.16402896971700842,1.1154378237940041
460.0,0.92,3.9937548653506187,7.563811973648391,0.16552922523222613,1.1169224037725383
470.0,0.9400000000000001,3.9936213248757,7.620165134193815,0.15952619548312783,1.1195702429594145
480.0,0.96,3.9934877795021166,7.677582928111337,0.16478868493187976,1.1253468394310095
490.0,0.98,3.9933547113074126,7.73603804902994,0.16604071339396315,1.1388435313377587
500.0,1.0,3.9932219625560643,7.795513953874698,0.1658809924808075,1.137274563121537
